file,x_range,x_max,y_max
scan_point_18.dat,29-32,30.782526244226908,126.50870513916016
scan_point_18.dat,33-50,49.98495535378578,30.316734313964844
scan_point_18.dat,50-45,49.98495535378578,30.316734313964844
scan_point_18.dat,45-55,50.11970924227391,33.28270721435547
scan_point_18.dat,55-67,58.40707338429406,33.45883560180664
scan_point_19.dat,29-32,30.782526244226908,130.27642822265625
scan_point_19.dat,33-50,49.98495535378578,31.49869728088379
scan_point_19.dat,50-45,49.98495535378578,31.49869728088379
scan_point_19.dat,45-55,50.11970924227391,34.53755569458008
scan_point_19.dat,55-67,58.40707338429406,32.31568145751953
scan_point_2.dat,29-32,30.782526244226908,184.7939453125
scan_point_2.dat,33-50,49.71544757680952,45.427947998046875
scan_point_2.dat,50-45,49.71544757680952,45.427947998046875
scan_point_2.dat,45-55,50.18708618651798,50.63412857055664
scan_point_2.dat,55-67,58.474450328538126,31.52073097229004
scan_point_20.dat,29-32,30.782526244226908,152.10955810546875
scan_point_20.dat,33-50,49.98495535378578,34.0771484375
scan_point_20.dat,50-45,49.98495535378578,34.0771484375
scan_point_20.dat,45-55,50.11970924227391,37.27090835571289
scan_point_20.dat,55-67,58.40707338429406,32.33961868286133
scan_point_21.dat,29-32,30.782526244226908,135.6912841796875
scan_point_21.dat,33-50,49.98495535378578,34.16275405883789
scan_point_21.dat,50-45,49.98495535378578,34.16275405883789
scan_point_21.dat,45-55,50.11970924227391,36.97803497314453
scan_point_21.dat,55-67,58.40707338429406,32.007564544677734
scan_point_22.dat,29-32,30.782526244226908,133.62725830078125
scan_point_22.dat,33-50,49.98495535378578,35.50200271606445
scan_point_22.dat,50-45,49.98495535378578,35.50200271606445
scan_point_22.dat,45-55,50.11970924227391,38.03996276855469
scan_point_22.dat,55-67,58.40707338429406,34.17482376098633
scan_point_23.dat,29-32,30.71514929998284,132.8072509765625
scan_point_23.dat,33-50,49.98495535378578,35.08272171020508
scan_point_23.dat,50-45,49.98495535378578,35.08272171020508
scan_point_23.dat,45-55,50.11970924227391,37.181182861328125
scan_point_23.dat,55-67,58.40707338429406,33.10197448730469
scan_point_24.dat,29-32,30.782526244226908,121.64168548583984
scan_point_24.dat,33-50,49.98495535378578,36.22867202758789
scan_point_24.dat,50-45,49.98495535378578,36.22867202758789
scan_point_24.dat,45-55,50.11970924227391,37.96023178100586
scan_point_24.dat,55-67,58.40707338429406,31.353965759277344
scan_point_25.dat,29-32,30.71514929998284,118.7049331665039
scan_point_25.dat,33-50,49.98495535378578,33.8752326965332
scan_point_25.dat,50-45,49.98495535378578,33.8752326965332
scan_point_25.dat,45-55,50.11970924227391,35.248626708984375
scan_point_25.dat,55-67,58.40707338429406,31.612363815307617
scan_point_26.dat,29-32,30.71514929998284,122.39019775390625
scan_point_26.dat,33-50,49.98495535378578,34.584129333496094
scan_point_26.dat,50-45,49.98495535378578,34.584129333496094
scan_point_26.dat,45-55,50.052332298029846,35.69057083129883
scan_point_26.dat,55-67,58.40707338429406,32.476280212402344
scan_point_27.dat,29-32,30.782526244226908,191.20765686035156
scan_point_27.dat,33-50,49.71544757680952,44.14482116699219
scan_point_27.dat,50-45,49.71544757680952,44.14482116699219
scan_point_27.dat,45-55,50.18708618651798,50.169315338134766
scan_point_27.dat,55-67,58.474450328538126,33.80470657348633
scan_point_28.dat,29-32,30.782526244226908,189.31590270996094
scan_point_28.dat,33-50,49.71544757680952,45.13157272338867
scan_point_28.dat,50-45,49.71544757680952,45.13157272338867
scan_point_28.dat,45-55,50.18708618651798,50.613136291503906
scan_point_28.dat,55-67,58.474450328538126,34.09065628051758
scan_point_29.dat,29-32,30.782526244226908,175.60760498046875
scan_point_29.dat,33-50,49.71544757680952,42.328372955322266
scan_point_29.dat,50-45,49.71544757680952,42.328372955322266
scan_point_29.dat,45-55,50.18708618651798,47.28260803222656
scan_point_29.dat,55-67,58.474450328538126,35.81792449951172
scan_point_3.dat,29-32,30.782526244226908,191.7433624267578
scan_point_3.dat,33-50,49.71544757680952,44.77180480957031
scan_point_3.dat,50-45,49.71544757680952,44.77180480957031
scan_point_3.dat,45-55,50.18708618651798,49.321250915527344
scan_point_3.dat,55-67,58.474450328538126,31.653165817260742
scan_point_30.dat,29-32,30.782526244226908,191.92544555664062
scan_point_30.dat,33-50,49.71544757680952,43.8944091796875
scan_point_30.dat,50-45,49.71544757680952,43.8944091796875
scan_point_30.dat,45-55,50.18708618651798,48.455650329589844
scan_point_30.dat,55-67,58.474450328538126,34.034793853759766
scan_point_31.dat,29-32,30.782526244226908,196.28665161132812
scan_point_31.dat,33-50,49.71544757680952,45.20038986206055
